Unique ID,Location,Photo link,LINK,Part No,Description,Quantity Request,STORE quantity,,
2026001,33,,,0,Relay 12V,0,5,,
2026002,33,2026002,https://amzn.in/d/08g9glRv,,Relay 5V,0,20,,
2026003,33,,,IN1408,Diodes,0,20,,
2026004,33,,,IN5408,Diode,0,75,,
2026005,33,,,CL100,power transistor,0,75,,
2026006,33,,,,White LED / IR pairs,0,10,,
2026007,35,,,except 23 & 28,QIDk kits,0,4,,
2026008,36,,,,QIDK accessories,0,18,,
2026009,36,2026009,https://www.flipkart.com/zebronics-zeb-crystal-clear-vga-webcam-480p-microphone-night-vision-usb-connectivity-3p-lens-auto-white-balance-manual-switch-led/p/itmf69fefa9632a4?pid=ACCFTZ6438YDTUYS&lid=LSTACCFTZ6438YDTUYS9V6SDB&marketplace=FLIPKART&cmpid=content_webcam_8965229628_gmc,,Web camera ,0,1,,
2026010,36,,,,Electric bulbs with holders,0,10,,
2026011,42,,,,Sleeves,0,1,,
2026012,43,,,,Zed - boards,0,23,,
2026013,43,2026013,https://www.keysight.com/us/en/product/DSOXBODE/bode-plot-training-kit.html,,keysight Bode plot training board,0,20,,
2026014,43,,,,Type C cable for ESP32,0,24,,
2026015,43,,,,Type B cable for ESP32,0,1,,
2026016,43,,,,FPGAs,0,35,,
2026017,52,2026017,https://shop.waaree.com/waaree-50wp-12v-mono-perc-solar-module/?setCurrencyId=1&sku=WSM-50%2F12V,,Solar panel big ,0,2,,
2026018,52,2026017,https://www.google.com/search?q=MIc+diff&client=firefox-b-d&hs=YvOq&sca_esv=ea5c7010ce8d97e6&udm=2&biw=1366&bih=643&sxsrf=APpeQnvEI_Lt6W1LhrK1zu2GQTyoLivS0g%3A1786097983315&ei=P7F1aoztEpPdseMPh4vDUQ&uact=5&oq=MIc+diff&gs_lp=Egtnd3Mtd2l6LWltZyIITUljIGRpZmYyBRAAGIAEMgUQABiABDIFEAAYgAQyBBAAGB4yBBAAGB4yBhAAGAUYHjIGEAAYBRgeMgYQABgFGB4yBhAAGAUYHjIGEAAYBRgeSKgWUABYAHACeACQAQCYAQCgAQCqAQC4AQPIAQCYAgKgAheYAwCIBgGSBwEyoAcAsgcAuAcAwgcFMi0xLjHIBxCACAE&sclient=gws-wiz-img#ip=1&sv=CAMSURoyKhBlLWN1NTFMUVpuSUEwZ3FNMg5jdTUxTFFabklBMGdxTToOZ2xlbjRpZjhoWFNHUE0gBCoXCgFzEhBlLWN1NTFMUVpuSUEwZ3FNGAEwARgHILbdptsBSggQARgBIAEoAQ,,Collar Mic,0,1,,
2026019,33643,,,,SS7 Common anode,0,12,,
2026020,52,,,,SS7 big dispaly,0,1,,
2026021,53,2026021,https://robu.in/product/dht22-am2302-digital-temperature-humidity-sensor/?gad_source=1&gad_campaignid=17416544847&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nptrQzVkSERbnrhouWsrfdUMNJct8YIYnItqQNCjEUw7Ja1Wj_mPMBoCEQ8QAvD_BwE,DHT22/DHT11,Humidity & temp module,0,92,,
2026022,53,Image not found,https://www.amazon.in/Original-Arduino%C2%AE-UNO-%E0%A4%8F%E0%A4%95-WiFi/dp/B0F9X19JYB?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&psc=1&smid=A36HUTT43EETHU,,Arduino Wifi,0,1,,
2026023,53,2026023,https://robokits.co.in/development-board/boards-compatible-with-arduino/programmable-arduino-nano-r3-ch340-board-compatible?srsltid=AfmBOorRBqqmXRTA-JvJcxVy9mYnWWuaJMx8bv5zaXh8AFmg4jlSK5pkEbQ,,Arduino Nano,0,1,,
2026024,53,,,,Arduino UNO,0,10,,
2026025,53,2026025,https://kitsguru.com/products/wired-buzzer-big-size-5v?variant=45022883348732&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOoonTllyF0OKbc1KbZe8R8J_h2jeVN5uvx2rR_7OxLK6hJ2IwXazpZw,,buzzer big,0,5,,
2026026,53,2026026,https://robosap.in/product/soil-npk-sensor-for-arduino-raspberry-pi-rs485-jxbs-3001/?gad_source=1&gad_campaignid=20581057603&gclid=CjwKCAjwhNbTBhB4EiwAsFSg-qyLtJHRsKbTUNnr43zSXGYLkXAgrxqIwCTb5TnTNznQ4YkJCXEUpBoCTdwQAvD_BwE,,Soil NPK sensor,0,1,,
2026027,53,,,,Buzzers,0,32,,
2026028,62,,,,Crocodile connectors,0,35,,
2026029,53,2026029,https://robocraze.com/products/esp32-development-board?variant=40193649803417&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&utm_source=googleads&utm_medium=ppc&utm_campaign=23882674936&utm_content=_&utm_term=&campaignid=23882674936&adgroupid=&campaign=23882674936&gad_source=1&gad_campaignid=23873099925&gclid=CjwKCAjwvsvTBhBaEiwAmf-3ngCuJ70PCqEM2YvS34IzNqLEuCC28oD7vPAEUTzPbLgIERMr72_nhhoCXdEQAvD_BwE,ESP32,Microcontroller,0,50,,
2026030,53,2026030,https://quartzcomponents.com/products/photosensitive-light-detection-sensor?variant=35122496897177&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=20393598841&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nnsKEcgzrda9UdNGrL6vWu430gRTI7n_TxleQX9zbC9eADv1pWCGyBoCKuMQAvD_BwE,,LDR MODULE,0,110,,
2026031,53,2026031,https://roboticsdna.in/product/ir-sensor-digital-single-array-line-sensor/?src=google&kwd=&adgroup={adgroup}&device=c&campaign={campaign}&adgroup={adgroup}&keyword=&matchtype=&gad_source=1&gad_campaignid=23684419086&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nk8ICrdHA2GHr0ZvavJGCT2Ki57sH5CQSKMQqiJrW82LMFOStS-jmhoCJEAQAvD_BwE,,IR MODULE,0,101,,
2026032,53,2026032,https://robu.in/product/towerpro-sg90-9gm-1-2kg-180-degree-rotation-servo-motor-good-quality/?gad_source=1&gad_campaignid=20381096599&gclid=CjwKCAjwvsvTBhBaEiwAmf-3npNfYekmNvYaV-LmVLd33uApd3epU-cpZUnRx0MeyNsup7PmSrIfXRoCzScQAvD_BwE,,SERVO MOTOR,0,62,,
2026033,53,2026033,https://robocraze.com/products/active-buzzer-module?variant=40192615448729&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=20031834624&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=20040036619&gclid=CjwKCAjwvsvTBhBaEiwAmf-3nmi5JNSe7Q6_-nxK7oAP0yXBGM7fyizZYLXkDzH6bb_ayP8bsW7PHBoCT-AQAvD_BwE,,Buzzer Module ,0,44,,
2026034,53,2026034,https://robu.in/product/pir-motion-sensor-detector-module-hc-sr501/?gad_source=1&gad_campaignid=20363337560&gclid=CjwKCAjwvsvTBhBaEiwAmf-3no1f-hC-1JMjhb0R7AxCGUhUHAPmaWt80U4dGyz88ftgc3Jd70DJSBoChMoQAvD_BwE,,PIR Module,0,80,,
2026035,52251,,,,Pushbutton,0,160,,
2026036,53,,,,MG90 servo motor small,0,1,,
2026037,53,2026037,https://www.amazon.in/Electronicspices-MG90S-Metal-Geared-Helicopter/dp/B08XZPMYCW,,MG90  servormotor medium,0,5,,
2026038,53,,,,MG90  servormotor big,0,1,,
2026039,54,2026039,https://netcareinstruments.com/products/netcare-pro-acoustic-stethoscope-rose-gold?variant=42120642592853&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=23133638855&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSnpaB6vvfGLTXBbYMeW-yQgI61js2J_dglTX5R1fb2MzTNLUDFZRhBoChnQQAvD_BwE,,stethoscope,0,5,,
2026040,54,2026040,https://robu.in/product/ds18b20-water-proof-temperature-probe-black-1m/,DS18B20,temp sensor water proof ,0,1,,
2026041,54,,,DS18B20-Transistor,Dallas Water proof transistor,0,1,,
2026042,54,,,,Water pressure(capacitive) sensor,0,3,,
2026043,54,2026043,https://amzn.in/d/08JiokAs,,inductive sensor,0,16,,
2026044,54,2026044,https://robocraze.com/products/w1209-digital-temperature-controller-thermostat-module?variant=40192846266521&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&campaignid=22114711878&adgroupid=&keyword=&device=c&gad_source=1&gad_campaignid=22124708836&gclid=EAIaIQobChMIn57t8M_PlgMVHB97Bx3BwRF7EAQYAiABEgLwe_D_BwE,,Digital Temp controller module,0,1,,
2026045,54,2026045,https://shop.waaree.com/waaree-50wp-12v-mono-perc-solar-module/?setCurrencyId=1&sku=WSM-50%2F12V,,Solar panel small,0,20,,
2026046,55,2026046,https://amzn.in/d/0acqp5ie,,PH sensor,0,5,,
2026047,55,,,,PH tester,0,1,,
2026048,55,2026048,https://www.desertcart.in/products/811438907-tds-meter-sensor-module-v1-0-with-probe-cable-water?gad_source=1&gad_campaignid=23077216304&gclid=CjwKCAjw4dDTBhAqEiwAkHYmSiHpWLJc9NJj0AftUefthAX7OlCragSvrWKz9pGJibQ7amHXKsS-sBoCc_8QAvD_BwE,,TDS sensor,0,11,,
2026049,55,2026049,https://www.desertcart.in/products/42514363-seeed-studio-grove-gsr-sensor-module-3-3v-5v-open?gad_source=1&gad_campaignid=23077216304&gclid=CjwKCAjw4dDTBhAqEiwAkHYmShCOtaaoOZxMaG2Jo8os1IS5EUJgxsatMTK_TH5lZHGrY07LYeYPOBoCLn8QAvD_BwE,,GSR Sensor Module,0,0,,
